epoch,train_loss,test_loss,test_mae,test_r2
1,6833.954050,961.658971,26.419265,-0.110311
2,774.574932,469.663939,17.522541,0.457736
3,270.455165,196.691533,9.924005,0.772904
4,184.653213,180.027647,9.403597,0.792144
5,174.532598,171.087364,9.263756,0.802466
6,167.776931,164.093703,9.036632,0.810541
7,167.010300,159.493835,8.866809,0.815852
8,162.069084,170.964886,9.447150,0.802608
9,146.741060,144.133878,8.534333,0.833586
10,136.750193,151.560384,8.819539,0.825012
11,144.292281,131.829892,8.129652,0.847792
12,122.494747,123.099168,7.921384,0.857872
13,112.472351,163.850125,9.367175,0.810822
14,107.034537,106.787950,7.365286,0.876705
15,93.485437,100.330952,7.058318,0.884160
16,85.423630,92.289019,6.858571,0.893445
17,79.045658,85.562591,6.524809,0.901211
18,78.610920,78.730965,6.238947,0.909099
19,67.318347,88.208601,6.576832,0.898156
20,70.657157,68.397689,5.817222,0.921029
21,64.574455,63.315695,5.571708,0.926897
22,57.656866,69.376455,5.825584,0.919899
23,53.872623,73.676628,6.123254,0.914935
24,52.890017,54.526996,5.112680,0.937044
25,50.224265,66.647005,5.757852,0.923051
26,43.724846,41.983264,4.487435,0.951527
27,40.489853,64.285422,5.890622,0.925777
28,38.782755,48.694426,4.884356,0.943778
29,40.055810,31.148263,3.789544,0.964037
30,31.428922,29.810002,3.686717,0.965582
31,29.450942,28.749185,3.571345,0.966807
32,28.337517,42.496218,4.910081,0.950935
33,24.711526,35.054511,4.076675,0.959527
34,22.942516,42.103174,4.732694,0.951389
35,33.539511,21.889433,3.068351,0.974727
36,22.137127,24.434937,3.470404,0.971788
37,19.967826,15.556928,2.295580,0.982038
38,18.006751,44.851359,5.188197,0.948216
39,24.689066,24.545210,3.591567,0.971661
40,18.023398,15.379474,2.308606,0.982243
41,18.292699,17.737615,2.733727,0.979521
42,17.883590,19.843509,3.125280,0.977089
43,19.257850,12.542195,1.893999,0.985519
44,16.548568,26.230780,3.856069,0.969714
45,16.511558,15.596711,2.478664,0.981992
46,14.973732,13.966015,2.180028,0.983875
47,19.780206,14.426986,2.118970,0.983343
48,15.684890,16.911275,2.501151,0.980475
49,16.894817,15.687890,2.547417,0.981887
50,15.231293,11.715233,1.674117,0.986474
