epoch,train_loss,valid_loss
1,7345.667973,1501.510274
2,613.477174,228.036015
3,191.583029,173.958114
4,174.376209,167.290343
5,176.444627,195.181461
6,172.462501,144.256735
7,169.476352,141.020843
8,148.819683,175.504245
9,164.962765,130.519765
10,141.051826,130.554200
11,143.185081,261.296192
12,169.419725,114.978781
13,127.774605,152.268622
14,129.786519,118.830010
15,134.433743,104.041776
16,123.529832,119.930360
17,118.304335,91.299282
18,100.955442,96.388991
19,106.683176,79.706761
20,88.693777,82.933138
21,83.255258,70.474852
22,83.246884,66.707926
23,70.427053,75.685711
24,73.119906,92.123535
25,66.093735,54.455676
26,67.075145,53.454675
27,54.974095,60.624104
28,53.147746,57.522259
29,54.325263,88.943666
30,52.056714,48.415538
31,46.851958,42.099002
32,41.869284,45.348102
33,42.714431,37.963669
34,40.697389,93.147428
35,46.567397,30.213854
36,33.464599,29.340675
37,32.235772,28.623929
38,29.346952,96.978383
39,45.304914,22.451202
40,28.913005,22.266089
41,32.022982,29.588232
42,24.394051,28.724753
43,21.988128,16.374259
44,21.713790,33.383190
45,18.654658,15.720440
46,18.134766,14.666059
47,16.326123,18.252306
48,17.111866,13.648797
49,16.980647,12.869734
50,14.791095,12.197488
51,14.847474,70.353237
52,28.695789,18.409937
53,15.283069,14.404273
54,14.599676,12.864275
55,14.123945,11.924627
56,16.251208,12.329477
57,14.357447,15.794092
58,14.582059,11.132694
59,14.228654,12.092538
60,14.949833,15.318855
61,13.907774,10.914671
62,14.369176,15.171088
63,14.224025,12.512360
64,13.982748,25.499681
65,14.096400,13.357892
66,15.791439,12.313589
67,14.270717,10.276696
68,16.270004,13.724844
69,14.046192,19.089957
70,14.089691,15.373028
71,14.561880,11.639754
72,13.783976,22.669382
73,14.291317,10.281955
74,14.424697,20.779723
75,13.150409,10.418131
76,13.700153,15.564851
77,13.711860,10.113707
78,13.929648,13.073049
79,13.262801,11.055817
80,12.073994,17.662615
81,15.491028,9.922858
82,13.166005,11.003125
83,13.775487,10.423873
84,12.694720,11.569206
85,13.641896,10.634151
86,13.482870,19.309180
87,17.458104,29.748625
88,17.050824,45.428913
89,18.083416,14.231848
90,13.394758,16.141441
91,14.015818,17.533702
